hour,rides,surcharge,total_amount,passenger_count,totalRidesWithSurcharge,percentRidesWithSurcharge,percent_surcharge,average_surcharge
0,527313,259510.5,7925134.5,928372,518873,98.0,3.5,0.5
1,373526,184711.5,5448208.5,656568,369339,98.0,3.55,0.5
2,280982,139240.6,4084954.5,493691,278443,99.0,3.53,0.5
3,205761,101632.0,3105495.0,361381,203239,98.0,3.42,0.5
4,148005,71739.0,2556449.5,254022,143446,96.0,3.14,0.5
5,130285,57565.0,2559011.5,208823,115108,88.0,3.12,0.5
6,285167,724.5,4189920.2,443203,1429,0.0,3.65,0.51
7,512579,217.0,6890836.0,817448,383,0.0,3.74,0.57
8,642307,248.5,8608818.0,1043654,430,0.0,4.19,0.58
9,658143,253.5,8729416.0,1070499,434,0.0,4.37,0.58
10,633013,234.0,8341087.5,1047004,428,0.0,4.19,0.55
11,648063,235.0,8553020.0,1083971,420,0.0,4.4,0.56
12,690297,227.65,9074306.0,1155993,428,0.0,4.08,0.53
13,686722,255.1,9327091.0,1156218,454,0.0,4.48,0.56
14,717406,283.0,1.0108259E7,1214557,485,0.0,4.62,0.58
15,690080,11390.5,9765534.0,1185797,11587,1.0,7.3,0.98
16,596661,376426.5,8700314.0,1026999,376564,63.0,7.3,1.0
17,711983,470734.0,1.0104652E7,1213620,470897,66.0,7.31,1.0
18,876015,599573.06,1.2030316E7,1493739,599812,68.0,7.4,1.0
19,890279,621201.0,1.2096188E7,1524648,632729,71.0,7.38,0.98
20,833729,411838.56,1.1479715E7,1428142,820066,98.0,3.85,0.5
21,803856,396050.5,1.1399676E7,1393700,791953,98.0,3.71,0.5
22,774694,381679.7,1.1264172E7,1355787,763225,98.0,3.61,0.5
23,673626,331956.1,1.0016568E7,1186532,663762,98.0,3.53,0.5
