week,rides,surcharge,total_amount,passenger_count,totalRidesWithSurcharge,percentRidesWithSurcharge,percent_surcharge,average_surcharge
1,2370543,492673.5,3.45564E7,4179894,980957,41.0,3.52,0.5
2,1815168,669527.0,2.6215254E7,3016887,909619,50.0,5.36,0.74
3,1926210,700160.8,2.7674454E7,3212132,974814,50.0,5.17,0.72
4,2013804,741774.0,2.9264396E7,3363747,1047078,51.0,5.09,0.71
5,2108246,765276.0,3.1007624E7,3556995,1107311,52.0,4.89,0.69
6,2736726,1048570.9,3.9697576E7,4668014,1537377,56.0,4.92,0.68
7,2778795,613976.0,3.8294748E7,4967879,1222153,43.0,3.63,0.5
