hour,rides,surcharge,total_amount,passenger_count,totalRidesWithSurcharge,percentRidesWithSurcharge,percent_surcharge,average_surcharge
0,637974,313406.5,9705389.0,1128938,626685,98.0,3.48,0.5
1,472666,233204.5,7037644.0,835702,466323,98.0,3.51,0.5
2,332950,164821.52,4933203.5,586217,329469,98.0,3.48,0.5
3,269455,133087.0,4135360.8,474708,266105,98.0,3.37,0.5
4,194862,94638.5,3368460.2,340129,189221,97.0,3.12,0.5
5,155190,69622.0,3030414.2,253564,139206,89.0,3.09,0.5
6,308168,753.0,4666465.0,484984,1476,0.0,3.65,0.51
7,535179,221.5,7391737.0,858404,380,0.0,3.87,0.58
8,684737,259.3,9387536.0,1115956,447,0.0,4.18,0.58
9,724327,276.5,9824172.0,1187789,482,0.0,3.82,0.57
10,709914,266.0,9545548.0,1185262,460,0.0,4.05,0.58
11,732874,285.5,9859788.0,1239155,489,0.0,4.1,0.58
12,773065,358.5,1.0561446E7,1313166,538,0.0,4.81,0.67
13,764885,444.5,1.0767414E7,1302648,598,0.0,6.01,0.74
14,793914,332.0,1.1536675E7,1363958,580,0.0,4.27,0.57
15,758456,10205.0,1.1181905E7,1312453,10441,1.0,7.15,0.98
16,643718,406652.6,9883430.0,1113828,406848,63.0,7.11,1.0
17,783406,521403.25,1.158052E7,1351072,521613,66.0,7.16,1.0
18,960747,660266.5,1.354316E7,1652081,660545,68.0,7.4,1.0
19,998933,692021.0,1.3774399E7,1725311,702855,70.0,7.41,0.98
20,946404,466496.5,1.321278E7,1635112,929153,98.0,3.82,0.5
21,908858,446841.0,1.3063682E7,1584693,893516,98.0,3.69,0.5
22,881508,433553.5,1.2990604E7,1548060,866944,98.0,3.59,0.5
23,777302,382542.0,1.1747079E7,1372358,764935,98.0,3.48,0.5
