week,rides,surcharge,total_amount,passenger_count,totalRidesWithSurcharge,percentRidesWithSurcharge,percent_surcharge,average_surcharge
1,1776450,382634.4,2.5051994E7,3116299,754690,42.0,3.63,0.51
2,1686456,529823.0,2.368588E7,2793310,754014,44.0,5.17,0.7
3,2324772,806040.25,3.2669982E7,3910176,1164913,50.0,5.07,0.69
4,2353515,853903.5,3.3001888E7,3914929,1180025,50.0,5.34,0.72
5,2505985,939341.0,3.5366644E7,4189506,1322523,52.0,5.19,0.71
6,2080833,771654.3,2.9095032E7,3523563,1113560,53.0,5.09,0.69
7,2048990,452438.5,2.7321394E7,3634480,890944,43.0,3.75,0.51
