latitude,longitude,count
40.755,-73.974,33110
40.757,-73.998,33080
40.758,-73.963,33076
40.759,-73.988,33059
40.782,-73.956,33034
40.735,-73.992,33032
40.747,-73.993,33016
40.751,-73.976,32996
40.75,-73.975,32953
40.748,-73.988,32934
40.788,-73.977,32902
40.745,-73.987,32862
40.729,-73.984,32849
40.764,-73.967,32763
40.719,-74.005,32649
40.771,-73.96,32640
40.762,-73.99,32628
40.747,-73.981,32617
40.762,-73.971,32612
40.76,-73.981,32598
40.754,-73.972,32538
40.757,-73.974,32485
40.72,-74.01,32465
40.758,-73.969,32441
40.762,-73.97,32328
40.759,-73.981,32316
40.726,-73.984,32210
40.741,-73.99,32186
40.751,-74.006,32098
40.756,-73.976,32045
40.764,-73.959,31998
40.758,-73.993,31988
40.739,-74.003,31898
40.765,-73.982,31882
40.742,-73.983,31871
40.742,-73.99,31870
40.761,-73.971,31769
40.759,-73.996,31727
40.758,-73.978,31712
40.755,-73.973,31710
40.77,-73.982,31700
40.732,-73.982,31677
40.738,-74,31553
40.761,-73.98,31471
40.751,-73.971,31468
40.736,-73.985,31455
40.734,-73.991,31444
40.719,-73.988,31314
40.808,-73.964,31311
40.751,-73.99,31217
40.735,-73.999,31144
40.782,-73.981,31088
40.731,-73.992,31061
40.726,-74.006,31046
40.756,-73.998,30970
40.739,-73.996,30956
40.77,-73.961,30919
40.752,-73.971,30894
40.768,-73.985,30834
40.752,-73.98,30824
40.732,-73.985,30806
40.769,-73.955,30800
40.769,-73.952,30788
40.644,-73.79,30707
40.724,-73.998,30697
40.775,-73.959,30665
40.742,-73.989,30557
40.759,-73.971,30551
40.727,-73.994,30542
40.756,-73.972,30535
40.76,-73.97,30447
40.729,-73.99,30418
40.736,-73.989,30380
40.755,-73.975,30373
40.724,-73.993,30370
40.752,-73.974,30352
40.764,-73.956,30321
40.733,-73.99,30298
40.746,-73.972,30256
40.757,-73.964,30208
40.649,-73.784,30202
40.77,-73.863,30192
40.764,-73.962,30123
40.752,-73.982,30072
40.757,-73.983,30064
40.749,-74.003,30059
40.766,-73.954,29941
40.749,-73.973,29898
40.77,-73.96,29842
40.752,-73.986,29840
40.765,-73.955,29825
40.768,-73.983,29771
40.737,-74.001,29635
40.785,-73.979,29630
40.78,-73.95,29622
40.772,-73.95,29606
40.761,-73.967,29565
40.764,-73.978,29474
40.767,-73.967,29464
40.719,-74.009,29436
40.765,-73.968,29336
40.724,-73.985,29324
40.776,-73.982,29319
40.773,-73.958,29215
40.765,-73.984,29209
40.755,-73.991,29152
40.649,-73.783,28950
40.755,-73.969,28949
40.724,-73.996,28943
40.781,-73.959,28940
40.763,-73.986,28928
40.753,-73.977,28895
40.736,-74.006,28876
40.749,-73.98,28841
40.745,-73.992,28751
40.805,-73.966,28671
40.705,-74.008,28638
40.76,-73.986,28622
40.759,-73.965,28547
40.782,-73.949,28516
40.767,-73.982,28491
40.793,-73.973,28425
40.794,-73.967,28414
40.765,-73.977,28411
40.73,-73.991,28359
40.734,-73.981,28359
40.766,-73.982,28348
40.774,-73.989,28329
40.741,-73.979,28208
40.779,-73.951,28204
40.758,-73.985,28203
40.727,-73.989,28198
40.76,-73.974,28127
40.75,-73.977,28082
40.743,-73.992,28058
40.746,-73.991,28039
40.743,-73.977,28027
40.73,-73.993,28015
40.776,-73.962,28002
40.771,-73.951,27969
40.764,-73.979,27961
40.735,-73.98,27921
40.776,-73.953,27918
40.755,-73.988,27890
40.73,-73.981,27854
40.739,-74.008,27853
40.777,-73.982,27839
40.758,-73.972,27807
40.746,-73.984,27771
40.771,-73.964,27706
40.764,-73.965,27693
40.776,-73.947,27689
40.795,-73.972,27675
40.728,-73.993,27663
40.783,-73.955,27643
40.756,-73.974,27619
40.731,-74.007,27586
40.746,-73.988,27578
40.766,-73.955,27575
40.759,-73.966,27559
40.728,-73.999,27497
40.759,-73.968,27451
40.745,-73.989,27421
40.762,-73.972,27417
40.747,-74.001,27408
40.764,-73.989,27404
40.765,-73.958,27386
40.728,-74.003,27359
40.762,-73.984,27353
40.776,-73.976,27348
40.714,-74.015,27336
40.757,-73.989,27335
40.728,-73.991,27269
40.757,-73.978,27256
40.725,-73.984,27231
40.731,-73.986,27183
40.733,-73.996,27176
40.74,-74.005,27167
40.716,-74.007,27164
40.725,-73.999,27141
40.714,-74.009,27046
40.768,-73.981,27033
40.765,-73.972,27029
40.74,-73.982,27029
40.747,-73.985,27010
40.721,-73.997,26922
40.736,-73.994,26880
40.758,-74.001,26837
40.73,-73.987,26823
40.754,-73.977,26772
40.766,-73.987,26703
40.767,-73.979,26658
40.755,-73.992,26641
40.757,-73.982,26606
40.748,-73.974,26590
40.715,-74.008,26581
40.764,-73.996,26513
40.774,-73.962,26499
40.72,-74.005,26486
40.781,-73.976,26485
40.735,-74.006,26409
40.755,-73.976,26377
40.754,-73.985,26363
40.749,-73.984,26361
40.718,-74,26324
40.789,-73.955,26267
40.739,-73.991,26251
40.733,-73.991,26237
40.725,-73.997,26202
40.75,-73.983,26197
40.759,-73.975,26194
40.724,-73.988,26192
40.795,-73.966,26189
40.765,-73.975,26184
40.758,-73.977,26129
40.734,-74.002,26112
40.726,-73.995,26101
40.72,-73.987,26081
40.741,-73.982,26061
40.728,-73.988,25982
40.775,-73.957,25980
40.74,-74.003,25900
40.758,-73.973,25881
40.759,-73.972,25824
40.723,-73.999,25790
40.743,-73.985,25726
40.762,-73.994,25716
40.783,-73.978,25684
40.758,-73.97,25637
40.767,-73.963,25606
40.785,-73.954,25595
40.745,-74.006,25578
40.741,-73.981,25465
40.755,-73.965,25445
40.754,-73.966,25408
40.765,-73.961,25398
40.762,-73.969,25345
40.758,-73.975,25338
40.768,-73.953,25319
40.723,-74.005,25318
40.729,-74.005,25317
40.727,-74.003,25286
40.756,-73.986,25273
40.767,-73.957,25262
40.794,-73.972,25236
40.723,-73.986,25235
40.763,-73.993,25219
40.755,-73.995,25186
40.775,-73.961,25169
40.764,-73.982,25141
40.739,-73.995,25081
40.754,-73.974,25072
40.765,-73.97,25068
40.77,-73.984,25035
40.76,-73.991,25034
40.768,-73.986,25023
40.753,-73.989,24978
40.738,-73.99,24975
40.763,-73.989,24964
40.753,-73.981,24964
40.743,-74.007,24946
40.757,-73.994,24941
40.76,-73.987,24914
40.756,-73.982,24910
40.762,-73.978,24867
40.771,-73.954,24848
40.771,-73.962,24762
40.761,-73.976,24758
40.744,-73.979,24735
40.779,-73.958,24713
40.756,-73.965,24676
40.78,-73.957,24640
40.751,-73.979,24571
40.762,-73.974,24546
40.722,-73.986,24534
40.749,-73.982,24508
40.738,-74.008,24505
40.77,-73.988,24503
40.769,-73.958,24480
40.777,-73.952,24441
40.763,-73.963,24417
40.753,-73.986,24398
40.751,-73.983,24367
40.745,-73.998,24342
40.728,-73.982,24307
40.766,-73.963,24303
40.782,-73.972,24301
40.739,-73.992,24096
40.748,-73.981,24073
40.779,-73.945,24072
40.778,-73.955,24068
40.716,-74.009,24051
40.736,-74.001,24034
40.721,-74.005,23954
40.75,-73.987,23952
40.789,-73.976,23933
40.761,-73.985,23916
40.744,-73.999,23914
40.747,-73.974,23899
40.749,-73.978,23760
40.78,-73.981,23688
40.73,-74.007,23617
40.788,-73.975,23602
40.725,-73.987,23557
40.768,-73.959,23540
40.723,-74.008,23537
40.765,-73.973,23509
40.74,-73.99,23508
40.787,-73.978,23503
40.75,-73.981,23476
40.754,-73.988,23435
40.777,-73.955,23387
40.747,-73.982,23344
40.755,-73.972,23311
40.792,-73.974,23310
40.744,-73.983,23278
40.763,-73.96,23257
40.772,-73.963,23255
40.76,-73.992,23235
40.783,-73.959,23215
40.779,-73.955,23210
40.752,-73.979,23209
40.755,-73.987,23195
40.721,-73.989,23187
40.776,-73.98,23152
40.747,-73.977,23141
40.726,-73.997,23141
40.778,-73.959,23082
40.774,-73.955,23078
40.761,-73.964,23066
40.763,-73.966,23045
40.734,-73.987,23036
40.735,-74.002,23017
40.723,-73.998,22997
40.737,-73.99,22990
40.76,-73.968,22970
40.75,-73.984,22944
40.748,-73.973,22942
40.733,-73.988,22927
40.778,-73.957,22916
40.759,-73.97,22914
40.739,-74,22876
40.773,-73.96,22851
40.726,-73.998,22817
40.751,-73.977,22815
40.743,-73.982,22783
40.77,-73.954,22709
40.743,-73.996,22707
40.753,-73.967,22674
40.787,-73.972,22673
40.776,-73.96,22671
40.739,-73.98,22668
40.763,-73.985,22664
40.741,-73.989,22655
40.784,-73.974,22642
40.757,-73.975,22597
40.748,-73.983,22467
40.738,-73.996,22466
40.743,-74.004,22460
40.731,-73.982,22414
40.739,-73.99,22403
40.766,-73.957,22340
40.783,-73.957,22319
40.747,-73.997,22280
40.735,-73.994,22246
40.754,-73.981,22210
40.744,-73.976,22177
40.759,-73.982,22163
40.775,-73.948,22159
40.722,-73.993,22112
40.734,-73.993,22038
40.773,-73.949,22000
40.724,-73.997,21957
40.729,-74.001,21951
40.773,-73.946,21949
40.735,-74,21934
40.79,-73.975,21922
40.784,-73.978,21913
40.741,-74.007,21843
40.726,-74.008,21829
40.727,-73.983,21828
40.756,-73.97,21765
40.73,-73.989,21713
40.743,-73.987,21705
40.777,-73.949,21696
40.77,-73.955,21643
40.763,-73.967,21603
40.767,-73.99,21578
40.731,-74.002,21576
40.78,-73.977,21570
40.747,-73.984,21545
40.737,-73.984,21485
40.779,-73.981,21478
40.718,-73.958,21412
40.757,-73.976,21387
40.745,-73.978,21372
40.729,-73.988,21331
40.74,-73.999,21317
40.702,-74.013,21253
40.729,-74,21176
40.777,-73.953,21175
40.722,-73.987,21172
40.735,-73.983,21151
40.721,-73.988,21137
40.76,-73.98,21133
40.748,-73.987,21099
40.741,-73.988,21098
40.736,-73.979,21089
40.785,-73.956,21069
40.767,-73.969,21037
40.766,-73.991,21000
40.763,-73.959,20991
40.71,-74.015,20991
40.78,-73.982,20956
40.756,-73.984,20933
40.772,-73.965,20887
40.763,-73.981,20862
40.739,-73.999,20849
40.73,-74,20821
40.751,-73.995,20816
40.801,-73.968,20797
40.783,-73.951,20769
40.761,-73.998,20748
40.759,-73.987,20723
40.783,-73.948,20668
40.768,-73.966,20590
40.786,-73.98,20576
40.724,-73.991,20534
40.762,-73.98,20531
40.723,-73.983,20523
40.729,-74.003,20489
40.778,-73.963,20474
40.776,-73.958,20467
40.786,-73.978,20458
40.767,-73.986,20447
40.807,-73.965,20444
40.779,-73.948,20444
40.712,-74.008,20438
40.773,-73.952,20414
40.766,-73.968,20412
40.737,-73.979,20408
40.76,-73.996,20349
40.781,-73.957,20301
40.744,-73.989,20230
40.743,-74.008,20227
40.749,-73.993,20216
40.732,-74.007,20176
40.741,-73.993,20171
40.775,-73.951,20162
40.766,-73.976,20073
40.759,-73.969,20068
40.758,-73.974,20041
40.786,-73.953,20040
40.754,-73.98,20036
40.764,-73.976,20029
40.774,-73.957,20027
40.761,-73.973,20027
40.764,-73.983,20019
40.744,-73.981,20016
40.765,-73.971,20013
40.755,-73.978,19945
40.743,-73.986,19906
40.762,-73.987,19894
40.784,-73.95,19885
40.761,-73.97,19861
40.762,-73.973,19850
40.751,-73.992,19836
40.746,-73.998,19800
40.737,-74.005,19754
40.726,-73.99,19739
40.732,-74.008,19717
40.72,-74.009,19713
40.726,-74.001,19696
40.786,-73.976,19673
40.761,-73.99,19658
40.797,-73.97,19636
40.768,-73.993,19634
40.782,-73.979,19610
40.733,-73.982,19585
40.748,-73.976,19575
40.802,-73.968,19541
40.776,-73.95,19539
40.72,-73.994,19502
40.763,-73.969,19502
40.744,-73.98,19499
40.753,-73.985,19476
40.785,-73.973,19454
40.782,-73.954,19454
40.769,-73.981,19404
40.77,-73.952,19403
40.756,-73.994,19287
40.751,-73.981,19283
40.754,-73.979,19263
40.728,-74.007,19261
40.779,-73.978,19213
40.747,-73.979,19185
40.744,-74.003,19161
40.775,-73.981,19133
40.72,-73.999,19115
40.647,-73.789,19073
40.769,-73.989,19049
40.791,-73.954,19021
40.748,-73.977,19020
40.768,-73.968,19016
40.782,-73.958,19014
40.735,-73.998,18998
40.77,-73.957,18997
40.753,-73.98,18989
40.722,-74,18988
40.761,-73.979,18955
40.734,-73.995,18947
40.733,-73.981,18936
40.736,-73.993,18933
40.755,-73.977,18919
40.708,-74.004,18917
40.737,-73.988,18916
40.742,-73.991,18899
40.758,-73.99,18896
40.722,-73.984,18841
40.793,-73.967,18829
40.739,-74.006,18826
40.771,-73.983,18794
40.774,-73.958,18785
40.783,-73.975,18784
40.763,-73.962,18757
40.77,-73.991,18754
40.785,-73.977,18735
40.757,-73.971,18709
40.766,-73.984,18698
40.787,-73.954,18680
40.721,-73.987,18667
40.767,-73.953,18657
40.716,-74.015,18592
40.805,-73.939,18579
40.749,-73.996,18570
40.774,-73.949,18569
40.778,-73.961,18543
40.739,-73.985,18535
40.79,-73.966,18522
40.711,-74.009,18486
40.8,-73.968,18476
40.704,-74.009,18448
40.723,-74.003,18409
40.725,-73.994,18399
40.744,-74.006,18391
40.772,-73.947,18376
40.761,-73.986,18374
40.646,-73.777,18355
40.769,-73.963,18335
40.744,-73.985,18308
40.746,-74.002,18161
40.757,-73.993,18159
40.76,-73.975,18132
40.759,-73.976,18098
40.764,-73.972,18097
40.746,-73.986,18089
40.753,-73.996,18082
40.728,-74.002,18072
40.77,-73.951,18055
40.759,-73.962,18044
40.732,-73.99,18041
40.78,-73.947,18017
40.705,-74.007,17994
40.759,-73.984,17988
40.763,-73.971,17982
40.766,-73.97,17981
40.761,-74.003,17977
40.732,-73.996,17963
40.758,-73.976,17932
40.737,-73.985,17875
40.77,-73.958,17873
40.778,-73.953,17857
40.775,-73.988,17822
40.726,-73.996,17795
40.758,-73.987,17788
40.789,-73.978,17784
40.791,-73.975,17749
40.771,-73.987,17749
40.743,-73.989,17747
40.77,-73.965,17720
40.757,-73.973,17657
40.784,-73.955,17573
40.707,-74.005,17572
40.76,-73.962,17544
40.734,-73.989,17487
40.781,-73.973,17414
40.778,-73.978,17410
40.788,-73.976,17393
40.713,-74.009,17380
40.761,-74,17378
40.737,-73.991,17338
40.75,-74.002,17331
40.645,-73.781,17321
40.748,-73.978,17302
40.781,-73.982,17300
40.766,-73.981,17290
40.757,-73.985,17268
40.783,-73.979,17261
40.75,-73.974,17247
40.751,-73.98,17243
40.739,-73.988,17243
40.743,-73.997,17213
40.729,-73.978,17184
40.751,-74.002,17156
40.796,-73.971,17156
40.783,-73.974,17136
40.73,-73.992,17091
40.74,-73.979,17082
40.726,-74.002,17063
40.757,-73.987,17046
40.642,-73.789,17042
40.709,-74.015,17027
40.73,-73.978,17013
40.765,-73.976,16997
40.76,-74.003,16996
40.763,-73.973,16974
40.79,-73.977,16974
40.769,-73.965,16968
40.75,-73.976,16939
40.731,-73.991,16920
40.753,-73.974,16906
40.732,-74.004,16898
40.781,-73.961,16890
40.74,-73.976,16889
40.764,-73.992,16882
40.765,-73.974,16882
40.733,-73.994,16879
40.725,-74.004,16868
40.754,-73.996,16855
40.767,-73.987,16848
40.705,-74.017,16825
40.724,-74.004,16825
40.788,-73.971,16812
40.738,-73.997,16807
40.707,-74.004,16750
40.751,-73.978,16715
40.76,-73.973,16684
40.734,-74,16680
40.763,-73.997,16679
40.747,-74.005,16677
40.78,-73.953,16630
40.772,-73.99,16583
40.753,-73.997,16566
40.778,-73.979,16557
40.782,-73.983,16553
40.766,-73.952,16540
40.727,-74.007,16527
40.757,-73.969,16487
40.773,-73.962,16470
40.793,-73.975,16424
40.791,-73.969,16403
40.78,-73.984,16318
40.762,-73.967,16310
40.724,-73.992,16301
40.733,-74.004,16267
40.766,-73.964,16250
40.761,-73.972,16250
40.752,-73.973,16247
40.724,-73.979,16240
40.74,-74.008,16239
40.729,-74.002,16239
40.763,-73.975,16235
40.726,-74.005,16220
40.799,-73.969,16220
40.783,-73.981,16176
40.728,-74.005,16159
40.76,-73.982,16143
40.766,-73.96,16132
40.782,-73.976,16124
40.749,-73.991,16114
40.784,-73.952,16112
40.778,-73.946,16112
40.642,-73.788,16106
40.746,-73.995,16066
40.767,-73.96,16034
40.777,-73.962,16030
40.753,-74.004,16019
40.727,-73.98,16017
40.752,-73.97,16003
40.771,-73.865,15999
40.767,-73.962,15971
40.737,-73.982,15944
40.803,-73.968,15942
40.756,-73.964,15913
40.776,-73.987,15865
40.754,-73.989,15862
40.744,-73.995,15860
40.779,-73.985,15858
40.746,-73.99,15830
40.712,-74.01,15824
40.786,-73.972,15823
40.726,-73.986,15823
40.767,-73.984,15820
40.641,-73.787,15808
40.768,-73.984,15785
40.781,-73.952,15729
40.733,-74.007,15720
40.751,-73.998,15703
40.748,-74,15656
40.769,-73.988,15642
40.779,-73.96,15623
40.765,-73.992,15614
40.756,-73.988,15602
40.741,-74.001,15570
40.763,-73.977,15569
40.73,-73.984,15505
40.706,-74.006,15481
40.746,-74.006,15464
40.781,-73.95,15428
40.763,-73.965,15427
40.718,-73.991,15375
40.761,-73.974,15366
40.751,-74.005,15344
40.757,-74.001,15337
40.719,-74.01,15324
40.765,-73.979,15317
40.71,-74.01,15311
40.705,-74.01,15292
40.751,-73.972,15287
40.728,-73.995,15279
40.792,-73.968,15265
40.758,-73.967,15265
40.738,-74.005,15264
40.764,-73.98,15227
40.772,-73.979,15224
40.737,-74.006,15216
40.755,-73.979,15214
40.771,-73.98,15188
40.748,-74.005,15134
40.76,-73.983,15125
40.799,-73.963,15103
40.729,-73.992,15096
40.754,-73.976,15087
40.716,-74.011,15079
